text,category
app crashes on checkoutnot a scam,Technical
L0G1N N0T W0RK1NG ANYM0RE,Account
website not loading properly,Technical
refund pending for too longkindly check,Refund
n0 updat3 0n my r3fund r3qu3stasap,Refund
questi0n regarding subscripti0nn0w,Other
web5ite not loading properlynow,Technical
payment deducted but order failed,Payment
how to update profile details,Other
cannot access my accounttoday,Account
CANNOT ACCESS MY ACCOUNT,Account
my acc0unt g0t bl0cked suddenly,Account
r3fund p3nd1ng for too longtoday,Refund
ch@rged twice for the 5@me order,Payment
login not working anymore,Account
waiting for refund since last week,Refund
5CREEN GOE5 BL@NK WHEN I OPEN @PP,Technical
refund pending for too long,Refund
LOGIN NOT WORKING ANYMORE,Account
cannot access my account,Account
need assistance with offersplease help,Other
UNABLE TO SIGN IN TO MY ACCOUNT,Account
refund prom1sed but not cred1ted,Refund
error occurs while placing orderurgent,Technical
ch@rged twice for the s@me ordernot @ sc@m,Payment
waiting for refund since last week,Refund
general query about services,Other
my account got blocked suddenly,Account
REFUND PENDING FOR TOO LONG,Refund
charg3d twic3 for th3 sam3 ord3rnow,Payment
no update on my refund requestkindly check,Refund
amount debited but transaction unsuccessfulreally frustrated,Payment
MONEY TAKEN BUT CHECKOUT CRASHED,Payment
unable to sign in to my accountplease help,Account
CHARGED TW1CE FOR THE SAME ORDERURGENT,Payment
my account got blocked suddenly,Account
NEED A55I5TANCE WITH OFFER5KINDLY CHECK,Other
money taken but checkout crashednot a scam,Payment
UNABLE TO SIGN IN TO MY ACCOUNTKINDLY CHECK,Account
my account got blocked suddenlyplease help,Account
payment deducted but order failed,Payment
acc0unt l0cked after l0gin,Account
unable to 5ign in to my accountnow,Account
need help with discount codes,Other
money taken but checkout crashed,Payment
refund promised but not credited,Refund
charged twice for the same orderseriously,Payment
CHARGED TWICE FOR THE SAME ORDER,Payment
general query about servicesnot a scam,Other
website not loading properlyreally frustrated,Technical
payment deducted but 0rder fa1led,Payment
login not working anymorereally frustrated,Account
NEED HELP WITH DISCOUNT CODES,Other
charged twice for the same orderasap,Payment
R3FUND NOT R3C31V3D,Refund
error occurs while placing orderkindly check,Technical
h0w t0 update pr0file detailst0day,Other
paym3nt 5ucc355ful but no ord3r cr3at3dr3ally fru5trat3d,Payment
NEED HELP W1TH D1SC0UNT C0DESSER10USLY,Other
general query about servicesplease help,Other
PAYMENT SUCCESSFUL BUT NO ORDER CREATED,Payment
P@YM3NT 5UCC355FUL BUT N0 0RD3R CR3@T3D@5@P,Payment
general query about servicesreally frustrated,Other
waiting for refund since last weekkindly check,Refund
PAYMENT DEDUCTED BUT ORDER FAILEDURGENT,Payment
r3fund pr0mi53d but n0t cr3dit3d,Refund
question regarding subscriptionurgent,Other
no update on my refund reque5t,Refund
w@1t1ng f0r r3fund s1nc3 l@st w33ks3r10usly,Refund
refund not receivedasap,Refund
WEBSITE NOT LOADING PROPERLYKINDLY CHECK,Technical
NO UPDATE ON MY REFUND REQUEST,Refund
REFUND PROMISED BUT NOT CREDITED,Refund
website not loading properly,Technical
5CREEN G0E5 BLANK WHEN I 0PEN APPKINDLY CHECK,Technical
refund pr0mi5ed but n0t credited,Refund
NEED HELP WITH DISCOUNT CODESIMMEDIATELY,Other
unable to sign in to my accountkindly check,Account
NEED HELP WITH DISC0UNT C0DES,Other
r3fund not r3c3iv3d,Refund
APPLICATION FREEZES REPEATEDLY,Technical
MONEY TAKEN BUT CHECKOUT CRASHEDREALLY FRUSTRATED,Payment
my account got blocked suddenly,Account
refund prom1sed but not cred1ted,Refund
qu3stion r3garding subscriptionnot a scam,Other
website not lo@ding properly,Technical
how to upd@te profile det@ilsthis is un@ccept@ble,Other
l0gin n0t w0rking anym0re5eri0u5ly,Account
WAITING F0R REFUND SINCE LAST WEEK,Refund
my account got blocked suddenly,Account
REFUND PROMISED BUT NOT CREDITEDKINDLY CHECK,Refund
payment successful but no order created,Payment
refund prom1sed but not cred1ted,Refund
ERROR OCCURS WHILE PL@CING ORDERKINDLY CHECK,Technical
HOW TO UPDATE PROFILE DETAILS,Other
PAYMENT DEDUCTED BUT ORDER FAILED,Payment
MY ACC0UNT G0T BL0CKED SUDDENLYN0W,Account
waiting for refund since last weekplease help,Refund
refund pending for too longreally frustrated,Refund
no update on my refund request,Refund
un@ble t0 5ign in t0 my @cc0untthi5 i5 un@ccept@ble,Account
MONEY TAKEN BUT CHECKOUT CRASHEDNOT A SCAM,Payment
need assistance with offers,Other
error occurs while placing order,Technical
CANNOT ACCESS MY ACCOUNT,Account
r3fund p3nding for too long,Refund
error occurs while placing order,Technical
my account got blocked suddenlynow,Account
MY ACCOUNT GOT BLOCKED SUDDENLYSERIOUSLY,Account
WEBSITE NOT LOADING PROPERLY,Technical
error occurs while placing orderasap,Technical
my account got blocked suddenly,Account
app crash3s on ch3ckoutkindly ch3ck,Technical
LOGIN NOT WORKING ANYMORE,Account
error occurs while placing orderasap,Technical
unable to sign in to my accounturgent,Account
charged twice for the same ordernot a scam,Payment
refund promised but not credited,Refund
REFUND NOT RECEIVEDIMMEDIATELY,Refund
3rror occur5 whil3 placing ord3ra5ap,Technical
LOGIN NOT WORKING @NYMORE,Account
need assistance with offersreally frustrated,Other
UNABLE TO SIGN IN TO MY ACCOUNT,Account
am0unt deb1ted but transact10n unsuccessfulser10usly,Payment
REFUND PENDING FOR TOO LONG,Refund
payment successful but no order created,Payment
n33d h3lp with di5count cod3553riou5ly,Other
payment successful but no order creatednow,Payment
website not lo@ding properlykindly check,Technical
SCREEN GOES BLANK WHEN I OPEN APPSERIOUSLY,Technical
website not lo@ding properlyurgent,Technical
refund pending for too longnow,Refund
REFUND PR0MISED BUT N0T CREDITED,Refund
refund promised but not credited,Refund
@pp cr@sh3s 0n ch3ck0ut,Technical
REFUND PENDING FOR TOO LONGNOW,Refund
need ass1stance w1th 0fferst0day,Other
payment successful but no order createdimmediately,Payment
APPLICATION FREEZES REPEATEDLY,Technical
refund not received,Refund
paym3nt d3duct3d but 0rd3r fail3d,Payment
money taken but checkout crashedseriously,Payment
APPLICATION FREEZES REPEATEDLYSERIOUSLY,Technical
w@iting f0r r3fund 5inc3 l@5t w33k,Refund
need help with discount codes,Other
UNABLE TO SIGN IN TO MY ACCOUNTURGENT,Account
que5ti0n regarding 5ub5cripti0n,Other
no update on my refund request,Refund
CANNOT ACCESS MY ACCOUNT,Account
NEED ASSISTANCE WITH OFFERSPLEASE HELP,Other
refund pending for too long,Refund
error occur5 while placing order,Technical
refund promised but not creditednow,Refund
how to update profile details,Other
account locked after login,Account
refund pending for too long,Refund
ERR0R 0CCURS WHILE PLACING 0RDERTHIS IS UNACCEPTABLE,Technical
p@ym3nt d3duct3d but ord3r f@il3d,Payment
no update on my refund requestnot a scam,Refund
UNABLE TO SIGN IN TO MY ACCOUNTASAP,Account
need help with discount codes,Other
money t@ken but checkout cr@shed,Payment
QUESTION REGARDING SUBSCRIPTIONTHIS IS UNACCEPTABLE,Other
no update on my refund request,Refund
refund promised but not creditedplease help,Refund
account locked after login,Account
MY ACCOUNT GOT BLOCK3D 5UDD3NLY,Account
screen goes blank when I open appreally frustrated,Technical
account locked after logintoday,Account
ERROR OCCURS WHILE PLACING ORDERKINDLY CHECK,Technical
WEBSITE NOT LOADING PROPERLYURGENT,Technical
SCREEN GOES BLANK WHEN I OPEN APP,Technical
MY @CCOUNT GOT BLOCKED 5UDDENLY,Account
r3fund not r3c3iv3d,Refund
app crashes on checkout,Technical
my account got blocked suddenly,Account
general query about serv1ces1mmed1ately,Other
login not working anymore,Account
refund pending for too long,Refund
need assistance with 0fferst0day,Other
my acc0unt g0t bl0ck3d sudd3nlyasap,Account
GENERAL QUERY ABOUT SERVICES,Other
error occurs wh1le plac1ng order,Technical
account locked after login,Account
application fr33z3s r3p3at3dly,Technical
LOGIN NOT WORKING ANYMOREREALLY FRUSTRATED,Account
website not loading properly,Technical
3rror occurs whil3 pl@cing ord3rnow,Technical
refund promised but not credited,Refund
NO UPDATE ON MY REFUND REQUESTASAP,Refund
app crashes on checkoutplease help,Technical
need help with discount codeskindly check,Other
need a55i5tance with 0ffer5n0t a 5cam,Other
need help with discount codestoday,Other
HOW TO UPDATE PROFILE DETAILS,Other
ACCOUNT LOCKED AFTER LOGINIMMEDIATELY,Account
screen goes blank when I open app,Technical
REFUND NOT RECE1VED1MMED1@TELY,Refund
refund promised but not credited,Refund
waiting for r3fund sinc3 last w33kthis is unacc3ptabl3,Refund
UNABLE TO SIGN IN TO MY ACCOUNT,Account
account locked after login,Account
no update on my refund request,Refund
refund n0t received,Refund
SCREEN GOES BLANK WHEN I OPEN APPASAP,Technical
MY @CCOUNT GOT BLOCKED SUDDENLY@S@P,Account
NEED HELP WITH DISCOUNT CODES,Other
app crashes on checkoutreally frustrated,Technical
NO UPD@TE ON MY REFUND REQUEST,Refund
cannot access my account,Account
gener@l query @bout services,Other
WAITING FOR REFUND SINCE LAST WEEKTODAY,Refund
@pplic@tion freezes repe@tedly@s@p,Technical
@pp cr@sh3s on ch3ckout@s@p,Technical
wa1t1ng for refund 51nce la5t weekurgent,Refund
GENERAL QUERY ABOUT SERVICES,Other
p@yment successful but n0 0rder cre@ted,Payment
need help with discount codes,Other
PAYMENT SUCCESSFUL BUT NO ORDER CREATEDREALLY FRUSTRATED,Payment
login not working @nymore,Account
PAYMENT SUCCESSFUL BUT NO ORDER CREATED,Payment
account locked after loginnow,Account
refund promised but not credited,Refund
appl1cat1on freeze5 repeatedly,Technical
no update on my refund requestplease help,Refund
payment deducted but order failedtoday,Payment
payment deducted but order failedseriously,Payment
money taken but checkout crashed,Payment
refund not receivedple@se help,Refund
REFUND NOT RECEIVED,Refund
application freezes repeatedly,Technical
@pplic@ti0n fr33z3s r3p3@t3dly,Technical
CANNOT ACCESS MY ACCOUNT,Account
@MOUNT DEBITED BUT TR@NS@CTION UNSUCCESSFULIMMEDI@TELY,Payment
CHARGED TWICE FOR THE 5AME ORDERURGENT,Payment
un@bl3 t0 sign in t0 my @cc0unt,Account
need help with discount codesnow,Other
error occurs while placing order,Technical
refund pending for too long,Refund
p@ym3nt 5ucc355ful but no ord3r cr3@t3d53riou5ly,Payment
general query about services,Other
h0w t0 update pr0file detail5really fru5trated,Other
MY ACCOUNT GOT BLOCKED SUDDENLYIMMEDIATELY,Account
account locked after login,Account
my account got blocked suddenly,Account
gener@l query @bout servicesnot @ sc@m,Other
amount debited but transaction unsuccessful,Payment
cannot access my accounturgent,Account
need help with discount codes,Other
refund pending for too longtoday,Refund
LOGIN NOT WORKING ANYMOREURGENT,Account
NEED A5515TANCE W1TH OFFER5NOW,Other
my acc0unt g0t bl0ck3d 5udd3nlyr3ally fru5trat3d,Account
refund pending for too long,Refund
money taken but checkout crashed,Payment
ACCOUNT LOCKED AFTER LOGINIMMEDIATELY,Account
account locked after login,Account
payment successful but no order createdasap,Payment
AMOUNT DEBITED BUT TRANSACTION UNSUCCESSFULREALLY FRUSTRATED,Payment
charged twice for the same ordernow,Payment
LOGIN NOT WORKING ANYMORE,Account
screen goes blank when I open app,Technical
my account got blocked suddenlyasap,Account
general query about serv1cesnow,Other
payment successful but no order created,Payment
HOW TO UPD@TE PROFILE DET@ILS@S@P,Other
l0gin n0t w0rking anym0ren0w,Account
UNABLE T0 5IGN IN T0 MY ACC0UNTT0DAY,Account
login not working anymore,Account
r3fund not r3c31v3d,Refund
need help with discount codestoday,Other
REFUND NOT RECEIVEDTHIS IS UNACCEPTABLE,Refund
amount deb1ted but transact1on unsuccessful,Payment
waiting for refund since last weekthis is unacceptable,Refund
refund not receivedthis is unacceptable,Refund
h0w t0 updat3 pr0fil3 d3tailsasap,Other
@mount debited but tr@n5@ction un5ucce55fulimmedi@tely,Payment
screen goes blank when I open app,Technical
h0w t0 update pr0file detail5,Other
mon3y tak3n but ch3ckout cra5h3dnow,Payment
SCREEN GOES BLANK WHEN I OPEN APP,Technical
charged twice for the same order,Payment
no update on my refund requestasap,Refund
amount debited but transaction unsuccessfultoday,Payment
error occurs while placing order,Technical
general query about servicesplease help,Other
NEED ASSISTANCE WITH OFFERSNOW,Other
unable to 5ign in to my accountplea5e help,Account
unable to sign in to my account,Account
HOW TO UPDATE PROFILE DETAIL5,Other
need help with discount codes,Other
application freezes repeatedly,Technical
UNABLE TO SIGN IN TO MY ACCOUNTURGENT,Account
my account got blocked suddenlyasap,Account
unable to sign in to my accountnow,Account
MY ACCOUNT GOT BLOCKED SUDDENLY,Account
general query about servicesnot a scam,Other
CANNOT ACCESS MY ACCOUNT,Account
need help with discount codesimmediately,Other
N33D ASSISTANC3 WITH OFF3RS,Other
screen goes blank when I open appnow,Technical
APPLICATION FREEZES REPEATEDLY,Technical
my account got blocked suddenlythis is unacceptable,Account
my @ccount got blocked 5uddenly,Account
refund promised but not creditednot a scam,Refund
amount debited but tran5action un5ucce55fulkindly check,Payment
cannot access my account,Account
question regarding subscriptionseriously,Other
REFUND PENDING FOR TOO LONG,Refund
website n0t l0@ding pr0perly,Technical
unable to 51gn 1n to my accountnow,Account
refund not received,Refund
PAYMENT SUCCESSFUL BUT NO ORDER CREATED,Payment
err0r 0ccur5 while placing 0rder,Technical
payment deducted but order failedseriously,Payment
need help with discount codesseriously,Other
n33d a5515tanc3 w1th 0ff3r5,Other
charg3d twic3 for th3 5am3 ord3r,Payment
HOW TO UPDATE PROFILE DETAILSASAP,Other
payment successful but no order createdkindly check,Payment
@ccount locked @fter login,Account
ch@rg3d twic3 for th3 s@m3 ord3rnot @ sc@m,Payment
login not working @nymorere@lly frustr@ted,Account
que5tion regarding 5ub5cription,Other
website not loading properly,Technical
CHARGED TWICE FOR THE SAME ORDERSERIOUSLY,Payment
screen goes blank when I open appreally frustrated,Technical
how to update profile details,Other
payment deducted but order failedseriously,Payment
APP CRASH3S 0N CH3CK0UT,Technical
my @cc0unt g0t bl0ck3d 5udd3nly,Account
c@nnot @cce55 my @ccount,Account
MONEY TAKEN BUT CHECKOUT CRASHEDNOW,Payment
SCREEN GOES BLANK WHEN I OPEN APP,Technical
AMOUNT DEBITED BUT TRANSACTION UNSUCCESSFUL,Payment
WEBSITE NOT LOADING PROPERLY,Technical
unable to 5ign in to my accounta5ap,Account
REFUND PR0M15ED BUT N0T CRED1TED,Refund
website not loading properly,Technical
need help with discount codes,Other
refund not received,Refund
WEBSITE NOT LOADING PROPERLY,Technical
n33d h3lp with di5count cod35imm3di@t3ly,Other
error occurs while placing ordernow,Technical
cannot acc3ss my account,Account
charged twice for the same order,Payment
ERR0R 0CCURS WH1LE PL@C1NG 0RDERT0D@Y,Technical
charged twice for the same order,Payment
NEED HELP W1TH D1SC0UNT C0DES,Other
REFUND PENDING F0R T00 L0NGASAP,Refund
quest1on reg@rd1ng subscr1pt1on,Other
REFUND PENDING FOR TOO LONG,Refund
need help with discount codes,Other
refund n0t rece1ved,Refund
r3fund p3nding for too long,Refund
paym3nt 5ucc355ful but n0 0rd3r cr3at3durg3nt,Payment
am0unt debited but tran5acti0n un5ucce55ful,Payment
ERROR OCCURS WHILE PLACING ORDERIMMEDIATELY,Technical
c@nnot @ccess my @ccountnot @ sc@m,Account
account locked after loginkindly check,Account
payment deducted but order fa1led,Payment
website not loading properly,Technical
questi0n reg@rding subscripti0n@s@p,Other
REFUND PENDING FOR TOO LONG,Refund
my account got blocked suddenly,Account
general query about servicesseriously,Other
refund not receivednot a scam,Refund
error occurs while placing orderasap,Technical
CANNOT ACCESS MY ACCOUNTSERIOUSLY,Account
general query about services,Other
website not loading properlynot a scam,Technical
MY ACCOUNT GOT BLOCKED SUDDENLYIMMEDIATELY,Account
website not loading properly,Technical
waiting for refund since last week,Refund
refund promised but not credited,Refund
n0 update 0n my refund request,Refund
SCREEN GOES BLANK WHEN I OPEN APP,Technical
MONEY TAKEN BUT CHECKOUT CRASHEDTHIS IS UNACCEPTABLE,Payment
SCREEN GOES BLANK WHEN I OPEN APPTODAY,Technical
PAYMENT DEDUCTED BUT ORDER FAILED,Payment
general query ab0ut servicesplease help,Other
screen goes blank when I open app,Technical
unable to sign in to my account,Account
HOW TO UPDATE PROFILE DETAILS,Other
refund promised but not creditedasap,Refund
general query about servicesnot a scam,Other
amount debited but transaction unsuccessful,Payment
REFUND PENDING F0R T00 L0NGSERI0USLY,Refund
AMOUNT DEBITED BUT TRANSACTION UNSUCCESSFUL,Payment
wa1t1ng f0r refund s1nce last week,Refund
login not working anymoreurgent,Account
applicati0n fr33z3s r3p3at3dly,Technical
general query about 5ervice5,Other
REFUND PROMISED BUT NOT CREDITEDURGENT,Refund
