ticket_text,category,template_id
REFUND PR0CE5S TAKING TOO LONG NEED THIS RES0LVED TODAY,Refund,Refund_5
R3FUND PROCESS TAK1NG T00 L0NG,Refund,Refund_5
r3fund miss1ng after r3turn pl3as3 help,Refund,Refund_7
UNEXPECTED ERROR M3S5AG3 @PP3@R5 IMMED1ATELY,Technical,Technical_9
R3fund d3l@yed b3yond expected tim3 this 15 unacc3pt@ble,Refund,Refund_8
QU3RY REG@RD1NG SUBSCRIPTION PLANS 1MM3DIATELY,Other,Other_4
charged tw1ce dur1ng ch3ck0ut not a scam,Payment,Payment_1
pag3 ke3ps refreshing,Technical,Technical_8
Refund n0t r3ce1ved after c@ncellation this 1s unacceptable,Refund,Refund_0
ch@rged for an ord3r that did not complete n0t a sc@m,Payment,Payment_8
B@NK SHOWS DEBIT BUT N0 ORDER CREATED THIS IS UNACCEPT@BL3,Payment,Payment_3
@pplication fr3ez35 fr3quently really frustrated,Technical,Technical_1
m0ney not r3funded yet,Refund,Refund_6
quest10n @bout loyalty points really frustr@ted,Other,Other_6
un@bl3 to log 1n after update,Account,Account_9
help need3d with account sett1ngs asap,Other,Other_7
R3FUND STATUS NOT UPDATED,Refund,Refund_9
unable t0 log in after update ne3d th1s r35olv3d tod@y,Account,Account_9
how to upd@te profil3 1nformation,Other,Other_1
N0 upd@te 0n refund request,Refund,Refund_4
unexpect3d 3rror message appears immed1@t3ly,Technical,Technical_9
no update on refund requ35t seriou5ly,Refund,Refund_4
Query regard1ng subscription plans,Other,Other_4
acc0unt @cc3ss deni3d,Account,Account_8
refund pr0mis3d but not credited,Refund,Refund_2
technic@l err0r during ch3ckout,Technical,Technical_6
Checkout fa1led after amount w@5 deducted kindly ch3ck,Payment,Payment_9
N0 updat3 on refund r3que5t immedi@tely,Refund,Refund_4
LOGIN NOT WORK1NG ANYM0RE S3RIOU5LY,Account,Account_3
qu3ry regarding subscr1ption plans,Other,Other_4
CHECK0UT F@ILED AFTER @MOUNT WA5 DEDUCT3D NOT A SCAM,Payment,Payment_9
need help with discount c0d3s 1mmediately,Other,Other_0
r3fund pr0m1s3d but n0t cr3dit3d,Refund,Refund_2
r3fund delayed bey0nd expected tim3,Refund,Refund_8
@ccount locked after login attempt,Account,Account_0
un@ble to 5ign in to acc0unt s3r1ously,Account,Account_4
@PP CR@SHES ON CH3CKOUT @S@P,Technical,Technical_0
Unable to log in @fter upd@te,Account,Account_9
APP N0T R35POND1NG URGENT,Technical,Technical_5
P@ge ke3ps refr3shing kindly ch3ck,Technical,Technical_8
Un3xpected error me5s@ge appears,Technical,Technical_9
account acces5 den1ed k1ndly check,Account,Account_8
refund prom1sed but n0t credited really fru5trated,Refund,Refund_2
app crashes on check0ut,Technical,Technical_0
@CCOUNT BLOCK3D WITHOUT R3@SON KINDLY CHECK,Account,Account_2
how to update prof1le 1nformati0n,Other,Other_1
CANNOT @CCE5S MY @CCOUNT NEED THI5 RES0LVED TODAY,Account,Account_1
Refund promised but not cr3dited really frustrated,Refund,Refund_2
gen3ral qu3sti0n about serv1ces thi5 i5 unacceptable,Other,Other_2
account acce55 denied,Account,Account_8
Query regarding subscript1on plans,Other,Other_4
5YSTEM FAILURE WHILE 0RDERING,Technical,Technical_7
unabl3 to log in after update,Account,Account_9
@PP NOT RESP0NDING IMM3D1ATELY,Technical,Technical_5
UN@BLE TO LOG IN AFTER UPDAT3,Account,Account_9
UN3XPECTED ERROR MESSAGE APPEARS,Technical,Technical_9
SCRE3N GOE5 BLANK ON P@YMENT,Technical,Technical_4
Waiting for refund since la5t week,Refund,Refund_1
Refund m1ssing after return urgent,Refund,Refund_7
@pp cr@shes on ch3ckout pleas3 help,Technical,Technical_0
NEED ASSISTANCE WITH OFF3R5 N33D THIS R3SOLVED TODAY,Other,Other_3
1nquiry about n3w features,Other,Other_8
INQUIRY ABOUT NEW F3ATURE5 NEED THIS RESOLV3D TODAY,Other,Other_8
General question about services,Other,Other_2
LOGIN N0T WORK1NG ANYMORE,Account,Account_3
applic@t1on freezes frequ3ntly not a 5cam,Technical,Technical_1
M0N3Y NOT REFUNDED YET,Refund,Refund_6
r3fund st1ll pend1ng,Refund,Refund_3
refund status not updated th1s is unacceptable,Refund,Refund_9
account susp3nded 5uddenly,Account,Account_5
l0gin not working anymor3,Account,Account_3
w@iting for refund s1nce last week,Refund,Refund_1
REFUND PROMI53D BUT NOT CREDITED,Refund,Refund_2
screen go3s blank on payment,Technical,Technical_4
ACCOUNT BL0CK3D WITHOUT REASON,Account,Account_2
N33D HELP WITH DISCOUNT COD3S,Other,Other_0
unexpected error mess@g3 appear5 need th1s re50lved tod@y,Technical,Technical_9
REFUND PR0MI53D BUT N0T CREDITED,Refund,Refund_2
account @cce5s d3ni3d really frustr@ted,Account,Account_8
HOW T0 UPDATE PROFILE INFORMAT10N,Other,Other_1
refund not receiv3d @ft3r cancell@tion,Refund,Refund_0
sy5tem failur3 while ord3ring,Technical,Technical_7
website not lo@d1ng properly,Technical,Technical_2
refund st1ll p3nding please help,Refund,Refund_3
HOW T0 CHANG3 EMAIL ADDRE55,Other,Other_5
P@YMENT COMPLET3D BUT APP CRASHED @SAP,Payment,Payment_4
QUE5TION AB0UT LOYALTY POINTS,Other,Other_6
Transaction f@1led after p@ym3nt need this resolved t0day,Payment,Payment_6
acc0unt acce5s d3n13d urg3nt,Account,Account_8
ch@rged for an ord3r th@t did n0t complet3 immediately,Payment,Payment_8
UN@BLE T0 SIGN IN TO ACCOUNT,Account,Account_4
refund delayed beyond 3xp3cted time,Refund,Refund_8
page k3eps refr35hing,Technical,Technical_8
R3FUND PROC3SS TAKING TOO L0NG NOT A 5CAM,Refund,Refund_5
CH@RGED TWIC3 DUR1NG CHECK0UT @SAP,Payment,Payment_1
b@nk shows debit but no 0rd3r created,Payment,Payment_3
amount debited but transaction unsucc3ssful,Payment,Payment_2
refund mi55ing after return,Refund,Refund_7
n0 update 0n r3fund requ3st 1mmediately,Refund,Refund_4
UNEXPECTED 3RROR MESSAGE APPEARS REALLY FRUSTRATED,Technical,Technical_9
5creen go35 blank on payment urgent,Technical,Technical_4
Account blocked without re@son s3riously,Account,Account_2
check0ut failed aft3r amount was d3ducted,Payment,Payment_9
MON3Y TAK3N BUT ORDER N0T CONF1RMED,Payment,Payment_5
unable to 5ign in to account,Account,Account_4
1nquiry about new f3ature5,Other,Other_8
Syst3m failure while ordering imm3diat3ly,Technical,Technical_7
refund mis51ng after r3turn,Refund,Refund_7
p@ym3nt c0mpl3ted but app cra5hed asap,Payment,Payment_4
SUPPORT NEEDED FOR GENER@L ISSUE,Other,Other_9
GEN3RAL QUESTI0N AB0UT 53RVICES,Other,Other_2
@CCOUNT LOCKED AFTER LOGIN ATT3MPT,Account,Account_0
ACCOUNT ACC3SS DENIED,Account,Account_8
Account 5uspended suddenly r3@lly frustr@ted,Account,Account_5
HOW TO UPDATE PROFILE INFORMATION NEED TH1S RESOLVED TODAY,Other,Other_1
P@YM3NT WAS D3DUCTED BUT ORDER FAILED URGENT,Payment,Payment_0
Account su5pended sudd3nly,Account,Account_5
query regarding 5ubscr1pt1on plans ser1ou5ly,Other,Other_4
refund not received after cancellation not a 5cam,Refund,Refund_0
@cc0unt block3d with0ut rea5on not @ scam,Account,Account_2
General que5t1on about s3rv1c35,Other,Other_2
CANNOT ACC35S MY @CC0UNT THI5 IS UN@CCEPT@BLE,Account,Account_1
r3fund mis51ng aft3r return,Refund,Refund_7
checkout failed after @mount w@s deducted as@p,Payment,Payment_9
un@ble t0 log 1n aft3r updat3,Account,Account_9
Cannot acce5s my account,Account,Account_1
transact1on f@iled after paym3nt need this r35olved t0day,Payment,Payment_6
PAYMENT COMPL3TED BUT APP CR@5HED PLE@SE HELP,Payment,Payment_4
BANK 5HOW5 D3BIT BUT N0 0RD3R CREAT3D URGENT,Payment,Payment_3
password reset not working,Account,Account_6
website not loading properly plea5e help,Technical,Technical_2
Account l0ck3d after l0gin attempt 1mmediately,Account,Account_0
qu3ry regard1ng sub5cr1pt1on plans asap,Other,Other_4
@mount deb1ted but tr@nsact1on un5ucces5ful n0t a scam,Payment,Payment_2
Gener@l que5ti0n about service5,Other,Other_2
login not w0rking anymore please help,Account,Account_3
Pa5sword re53t not working,Account,Account_6
@cc0unt access den1ed,Account,Account_8
money n0t r3funded yet,Refund,Refund_6
g3ner@l que5tion ab0ut serv1ce5,Other,Other_2
refund st1ll pending,Refund,Refund_3
Tr@n5acti0n fa1led @ft3r paym3nt s3r1ou5ly,Payment,Payment_6
refund 5till pending really frustrated,Refund,Refund_3
refund promised but not credit3d,Refund,Refund_2
HELP NE3D3D WITH ACCOUNT SETTINGS @SAP,Other,Other_7
Payment wa5 deducted but 0rder f@iled k1ndly check,Payment,Payment_0
W3BSITE NOT LO@DING PROPERLY URGENT,Technical,Technical_2
qu3stion about loyalty po1nts,Other,Other_6
transaction fa1led after payment n0t a 5cam,Payment,Payment_6
app crash3s on ch3ckout,Technical,Technical_0
Ch@rged tw1ce during checkout immediately,Payment,Payment_1
Refund proce55 t@k1ng too long th1s 1s unaccept@bl3,Refund,Refund_5
PAYMENT COMPL3TED BUT APP CRASHED SERIOUSLY,Payment,Payment_4
5ystem failure while order1ng,Technical,Technical_7
question about loy@lty points pl3as3 help,Other,Other_6
N3ed help w1th discount cod3s not a 5cam,Other,Other_0
CANNOT ACC35S MY ACC0UNT A5AP,Account,Account_1
ACCOUNT VERIFICATION FAIL3D,Account,Account_7
NE3D ASSISTANC3 W1TH 0FFERS,Other,Other_3
need a5s1st@nc3 with 0ffers,Other,Other_3
Err0r occur5 while placing order,Technical,Technical_3
login not working anymor3 kindly check,Account,Account_3
account locked after l0g1n attempt this is un@cc3ptable,Account,Account_0
cann0t @cce55 my acc0unt,Account,Account_1
unabl3 to log 1n aft3r updat3 really fru5trated,Account,Account_9
how to change em@il address need this re5olved tod@y,Other,Other_5
account suspended 5uddenly n0t a 5c@m,Account,Account_5
INQUIRY AB0UT N3W F3@TURES ASAP,Other,Other_8
Inquiry @bout new feature5,Other,Other_8
app cra5hes on check0ut,Technical,Technical_0
app not resp0nding asap,Technical,Technical_5
P@S5WORD R3SET N0T WORK1NG,Account,Account_6
account locked after l0gin att3mpt,Account,Account_0
MONEY N0T REFUNDED YET ASAP,Refund,Refund_6
paym3nt completed but app cra5h3d,Payment,Payment_4
cannot access my @ccount a5@p,Account,Account_1
need h3lp with discount codes,Other,Other_0
refund st@tu5 not updat3d,Refund,Refund_9
app crash3s on checkout ser1ously,Technical,Technical_0
ACCOUNT SU5P3NDED 5UDDENLY,Account,Account_5
R3FUND NOT RECEIVED AFT3R CANCELLATI0N PLEASE HELP,Refund,Refund_0
Mon3y t@ken but order n0t c0nfirm3d,Payment,Payment_5
page keep5 r3fresh1ng this is unacc3pt@ble,Technical,Technical_8
Payment was deduct3d but order f@il3d seriou5ly,Payment,Payment_0
query regard1ng subscription plans urgent,Other,Other_4
INQUIRY AB0UT NEW F3ATURE5 N0T A SC@M,Other,Other_8
payment completed but app crashed,Payment,Payment_4
how to update pr0fil3 informati0n seriously,Other,Other_1
CHARGED FOR AN 0RD3R THAT DID NOT C0MPLETE REALLY FRUSTRATED,Payment,Payment_8
ACCOUNT LOCKED AFTER LOG1N ATTEMPT,Account,Account_0
B@nk show5 debit but no order cre@ted,Payment,Payment_3
Pa55w0rd r3set not working not a scam,Account,Account_6
g3neral quest1on about serv1ces,Other,Other_2
technical 3rror during checkout urg3nt,Technical,Technical_6
checkout failed after @m0unt w@s d3ducted,Payment,Payment_9
error occurs whil3 placing order please help,Technical,Technical_3
help needed with account s3tt1ngs kindly ch3ck,Other,Other_7
M0NEY TAKEN BUT ORD3R NOT CONFIRMED PLEASE HELP,Payment,Payment_5
Screen go3s blank on payment,Technical,Technical_4
PAS5WORD RE53T N0T W0RK1NG,Account,Account_6
UNABL3 T0 5IGN 1N TO ACCOUNT IMMEDIAT3LY,Account,Account_4
CHARG3D TWICE DUR1NG CH3CKOUT,Payment,Payment_1
application freeze5 fr3quently,Technical,Technical_1
charged for an ord3r that did not complet3,Payment,Payment_8
pag3 keeps refre5hing not a sc@m,Technical,Technical_8
account verification f@iled ple@s3 help,Account,Account_7
Money n0t refunded y3t,Refund,Refund_6
web5ite not loading properly,Technical,Technical_2
5upport needed for general 15su3,Other,Other_9
REFUND STILL PENDING PLEASE HELP,Refund,Refund_3
@pp crashes 0n check0ut,Technical,Technical_0
inqu1ry about new feature5 1mmediately,Other,Other_8
APPLICAT1ON FR3EZES FREQUENTLY PLE@53 HELP,Technical,Technical_1
Unable t0 51gn in to account,Account,Account_4
m0ney taken but 0rd3r not conf1rmed n3ed this r3solved t0day,Payment,Payment_5
techn1c@l error during check0ut,Technical,Technical_6
money taken but order not conf1rmed please help,Payment,Payment_5
h0w to change email addres5,Other,Other_5
REFUND MIS5ING @FTER RETURN PLEASE HELP,Refund,Refund_7
query regarding subscription plans really frustr@ted,Other,Other_4
refund d3l@yed beyond exp3cted time th1s 1s un@cc3pt@bl3,Refund,Refund_8
SUPPORT N3EDED FOR GEN3RAL I55UE THIS I5 UNACCEPT@BLE,Other,Other_9
refund del@yed bey0nd exp3cted t1me k1ndly check,Refund,Refund_8
M0NEY NOT REFUND3D YET,Refund,Refund_6
